team,season,name,team.1,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,penalitiesFor,penalitiesAgainst
ARI,2008,ARI,ARI,Team Level,other,81,0.51,0.47,0.48,11381.0,116.61,22.49,8.69,21.73,3.99,63.14,45.01,21.28,22.49,21.28,126.0,54.0,54.0,234.0,22.0,7.0,1.0,30.0,1.0,54.0,66.0,104.0,158.0,11.0,25.0,136.0,57.0,11.0,15.0,115.0,31.0,34.0,4.23,3.77,14.5,3.0,4.0,15.0,234.0,180.0,180.0,5.0,2.63,1.87,2.28,21.94,21.94,21.3,126.54,21.77,8.73,24.16,4.05,71.22,50.31,20.85,21.77,20.85,143.0,55.0,71.0,269.0,26.0,5.0,1.0,24.0,5.0,70.0,68.0,117.0,172.0,15.0,35.0,165.0,36.0,16.0,14.0,133.0,42.0,23.0,5.14,4.94,11.7,7.0,9.0,10.0,269.0,198.0,198.0,6.0,2.44,0.83,0.83,22.21,22.21,21.25,,
ARI,2008,ARI,ARI,Team Level,all,81,0.47,0.46,0.47,294089.0,2187.76,195.56,149.8,494.94,71.02,1239.31,938.47,188.58,195.63,188.64,2269.0,879.0,1009.0,4157.0,200.0,139.0,31.0,529.0,60.0,951.0,1269.0,2069.0,2948.0,387.0,964.0,2066.0,1793.0,381.0,402.0,2448.0,525.0,175.0,70.66,62.49,62.41,64.0,70.0,66.0,4138.91,3148.0,3143.65,182.0,33.57,27.2,27.44,197.84,197.83,192.77,2498.23,223.8,167.64,562.95,81.56,1414.45,1112.63,216.81,224.84,217.87,2555.0,1066.0,1187.0,4808.0,248.0,162.0,48.0,497.0,82.0,1172.0,1460.0,2307.0,3373.0,433.0,1082.0,2531.0,1771.0,445.0,498.0,2836.0,603.0,182.0,81.9,72.51,69.4,71.0,93.0,84.0,4839.03,3621.0,3645.22,228.0,36.93,33.43,34.02,222.85,223.8,219.38,,
ARI,2008,ARI,ARI,Team Level,5on5,81,0.46,0.45,0.45,228449.0,1601.66,119.17,101.31,377.45,51.17,897.02,710.34,117.09,119.25,117.15,1666.0,626.0,759.0,3051.0,130.0,92.0,22.0,400.0,51.0,670.0,949.0,1536.0,2162.0,333.0,848.0,1507.0,1571.0,314.0,296.0,1844.0,371.0,77.0,54.18,44.65,20.35,51.0,56.0,23.0,3032.91,2292.0,2287.65,149.0,20.74,17.17,17.33,120.24,120.23,119.01,1903.19,141.35,121.59,450.05,62.44,1081.57,857.23,137.88,142.38,138.95,1945.0,801.0,912.0,3658.0,158.0,115.0,35.0,391.0,66.0,884.0,1132.0,1787.0,2588.0,366.0,937.0,1794.0,1574.0,342.0,413.0,2216.0,444.0,86.0,64.2,53.32,23.82,56.0,66.0,36.0,3689.03,2746.0,2770.22,198.0,24.82,20.94,21.49,142.52,143.46,141.84,,
ARI,2008,ARI,ARI,Team Level,4on5,81,0.08,0.1,0.11,24204.0,49.17,4.51,2.3,6.42,1.42,14.81,39.53,4.43,4.51,4.43,53.0,16.0,13.0,82.0,3.0,1.0,1.0,9.0,2.0,12.0,42.0,50.0,66.0,15.0,35.0,180.0,74.0,39.0,27.0,49.0,14.0,6.0,1.22,1.78,1.52,1.0,0.0,2.0,82.0,69.0,69.0,22.0,0.52,0.31,0.31,4.73,4.73,4.67,375.42,52.55,33.12,77.08,12.49,233.61,127.47,50.08,52.55,50.08,375.0,166.0,183.0,724.0,60.0,37.0,12.0,72.0,9.0,193.0,170.0,315.0,481.0,24.0,54.0,277.0,36.0,16.0,51.0,383.0,92.0,66.0,9.93,10.96,31.66,8.0,16.0,36.0,724.0,541.0,541.0,5.0,8.68,10.41,10.45,50.46,50.46,48.66,,
ARI,2008,ARI,ARI,Team Level,5on4,81,0.86,0.83,0.82,30055.0,420.33,49.37,37.5,89.36,14.44,264.34,143.59,45.77,49.37,45.77,424.0,183.0,183.0,790.0,45.0,39.0,7.0,90.0,6.0,215.0,212.0,379.0,562.0,28.0,56.0,243.0,91.0,17.0,64.0,440.0,109.0,58.0,11.04,12.28,26.04,9.0,10.0,26.0,790.0,607.0,607.0,6.0,9.66,7.84,7.51,50.94,50.94,47.8,93.09,8.13,4.19,11.65,2.59,28.06,77.63,7.98,8.13,7.98,92.0,44.0,21.0,157.0,4.0,5.0,0.0,10.0,2.0,25.0,90.0,88.0,132.0,28.0,56.0,295.0,125.0,71.0,20.0,104.0,25.0,7.0,2.62,3.29,2.22,0.0,2.0,2.0,157.0,136.0,136.0,19.0,0.97,1.25,1.25,7.66,7.66,7.63,,
L.A,2008,L.A,L.A,Team Level,other,82,0.55,0.55,0.55,13468.0,202.32,34.52,15.39,40.69,7.22,115.51,69.66,31.31,34.52,31.31,220.0,77.0,92.0,389.0,31.0,24.0,5.0,38.0,4.0,118.0,82.0,189.0,266.0,11.0,28.0,198.0,63.0,28.0,36.0,182.0,74.0,41.0,6.92,9.37,18.22,9.0,3.0,19.0,389.0,297.0,297.0,10.0,4.49,5.27,5.27,32.89,32.89,30.17,166.66,28.71,11.25,31.32,5.54,90.64,64.51,27.49,28.71,27.49,161.0,85.0,70.0,316.0,32.0,10.0,3.0,34.0,4.0,94.0,72.0,129.0,214.0,13.0,32.0,183.0,58.0,28.0,34.0,161.0,53.0,32.0,6.35,6.72,15.64,8.0,5.0,19.0,316.0,246.0,246.0,15.0,3.24,3.47,3.91,27.06,27.06,26.19,,
L.A,2008,L.A,L.A,Team Level,all,82,0.51,0.51,0.51,300139.0,2448.0,225.29,174.04,547.62,80.0,1404.96,1021.16,216.15,225.12,215.97,2383.0,1114.0,1093.0,4590.0,202.0,188.0,46.0,486.0,59.0,1363.0,1200.0,2181.0,3295.0,462.0,1111.0,2370.0,2128.0,464.0,928.0,2654.0,653.0,190.0,79.06,80.09,66.15,59.0,65.0,78.0,4577.7,3497.0,3492.01,475.0,39.33,37.74,38.38,223.38,223.09,216.47,2330.61,220.77,161.53,518.5,74.65,1320.61,980.2,212.67,221.01,212.95,2302.0,1035.0,1040.0,4377.0,226.0,149.0,30.0,497.0,62.0,1192.0,1212.0,2076.0,3111.0,461.0,1082.0,2189.0,2009.0,474.0,925.0,2551.0,585.0,201.0,76.83,70.87,73.08,71.0,80.0,75.0,4383.23,3337.0,3342.92,471.0,36.07,29.23,30.51,222.34,222.74,217.17,,
L.A,2008,L.A,L.A,Team Level,5on5,82,0.51,0.51,0.51,220838.0,1715.29,136.98,112.93,400.94,55.62,969.25,740.53,132.76,136.81,132.57,1660.0,774.0,755.0,3189.0,114.0,124.0,30.0,354.0,45.0,925.0,872.0,1546.0,2320.0,393.0,939.0,1555.0,1825.0,347.0,674.0,1897.0,441.0,96.0,56.71,53.72,26.55,38.0,46.0,30.0,3176.7,2434.0,2429.01,367.0,23.18,24.62,24.88,134.1,133.82,131.44,1652.39,130.1,107.0,388.22,52.42,925.36,714.17,127.18,130.34,127.44,1659.0,691.0,750.0,3100.0,137.0,93.0,19.0,375.0,46.0,824.0,876.0,1522.0,2213.0,375.0,888.0,1455.0,1766.0,376.0,684.0,1860.0,394.0,96.0,56.77,47.62,25.72,58.0,56.0,23.0,3106.23,2350.0,2355.91,386.0,21.92,17.15,18.63,131.3,131.69,129.69,,
L.A,2008,L.A,L.A,Team Level,4on5,82,0.11,0.13,0.14,34491.0,73.5,6.99,3.49,10.04,2.18,23.02,57.74,6.9,6.99,6.9,77.0,33.0,14.0,124.0,3.0,6.0,1.0,6.0,1.0,29.0,65.0,74.0,107.0,24.0,59.0,265.0,173.0,66.0,83.0,81.0,23.0,6.0,2.74,2.91,1.35,0.0,2.0,1.0,124.0,110.0,110.0,79.0,0.81,1.01,1.01,6.33,6.33,6.3,448.82,55.47,40.36,90.08,14.84,285.77,154.46,51.75,55.47,51.75,421.0,234.0,202.0,857.0,51.0,40.0,7.0,80.0,11.0,260.0,213.0,370.0,604.0,37.0,84.0,307.0,63.0,16.0,145.0,467.0,123.0,65.0,11.56,14.42,29.49,4.0,16.0,31.0,857.0,655.0,655.0,12.0,10.24,7.52,6.88,57.92,57.92,55.29,,
L.A,2008,L.A,L.A,Team Level,5on4,82,0.88,0.9,0.88,31342.0,456.89,46.8,42.23,95.96,14.99,297.18,153.24,45.19,46.8,45.19,426.0,230.0,232.0,888.0,54.0,34.0,10.0,88.0,9.0,291.0,181.0,372.0,602.0,34.0,85.0,352.0,67.0,23.0,135.0,494.0,115.0,47.0,12.69,14.09,20.02,12.0,14.0,28.0,888.0,656.0,656.0,19.0,10.85,6.84,7.21,50.04,50.04,48.56,62.74,6.48,2.92,8.88,1.85,18.82,47.04,6.26,6.48,6.26,61.0,25.0,18.0,104.0,6.0,6.0,1.0,8.0,1.0,14.0,51.0,55.0,80.0,36.0,78.0,244.0,122.0,54.0,62.0,63.0,15.0,8.0,2.14,2.11,2.23,1.0,3.0,2.0,104.0,86.0,86.0,58.0,0.67,1.08,1.08,6.07,6.07,6.01,,
