team,season,name,team.1,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,penalitiesFor,penalitiesAgainst
NSH,2010,NSH,NSH,Team Level,5on4,82,0.9,0.9,0.88,25534.0,326.92,36.49,30.64,66.36,10.35,204.86,109.3,34.91,36.49,34.91,331.0,127.0,185.0,643.0,35.0,21.0,7.0,76.0,9.0,184.0,133.0,296.0,423.0,21.0,42.0,221.0,31.0,23.0,64.0,337.0,85.0,36.0,9.24,10.14,17.11,7.0,7.0,21.0,643.0,458.0,458.0,4.0,7.68,6.43,6.49,37.68,37.68,36.38,43.83,4.09,2.03,5.94,1.43,12.35,35.16,3.86,4.09,3.86,40.0,21.0,8.0,69.0,2.0,3.0,1.0,9.0,0.0,11.0,36.0,38.0,59.0,14.0,28.0,207.0,84.0,64.0,54.0,45.0,10.0,6.0,1.09,1.29,1.71,0.0,1.0,1.0,69.0,61.0,61.0,50.0,0.47,0.89,1.01,3.55,3.55,3.54,,
L.A,2010,L.A,L.A,Team Level,other,82,0.51,0.49,0.48,9078.0,127.6,21.83,8.68,24.61,4.34,69.82,50.72,21.21,21.83,21.21,117.0,63.0,63.0,243.0,17.0,5.0,3.0,26.0,6.0,60.0,66.0,100.0,163.0,9.0,18.0,132.0,49.0,20.0,30.0,113.0,40.0,27.0,3.72,4.78,13.33,2.0,2.0,13.0,243.0,180.0,180.0,16.0,2.45,2.49,3.02,21.26,21.26,20.76,140.69,21.22,10.75,25.49,4.78,82.99,51.78,19.82,21.22,19.82,126.0,71.0,54.0,251.0,23.0,10.0,4.0,23.0,4.0,74.0,63.0,103.0,174.0,13.0,27.0,136.0,41.0,13.0,28.0,122.0,48.0,27.0,4.28,6.1,10.83,3.0,10.0,10.0,251.0,197.0,197.0,14.0,3.13,1.99,1.99,22.34,22.34,21.01,,
L.A,2010,L.A,L.A,Team Level,all,82,0.52,0.52,0.51,299625.0,2467.81,212.52,171.26,560.03,78.9,1399.37,1021.92,206.79,213.38,207.61,2363.0,1081.0,1209.0,4653.0,209.0,158.0,53.0,587.0,89.0,1126.0,1275.0,2154.0,3235.0,342.0,868.0,2407.0,2127.0,451.0,856.0,2643.0,611.0,190.0,74.09,74.22,64.19,63.0,65.0,81.0,4678.46,3444.0,3460.69,469.0,37.64,36.07,36.59,213.57,214.14,210.37,2339.81,195.28,159.47,526.09,74.31,1325.08,973.77,189.34,195.64,189.68,2288.0,966.0,1032.0,4286.0,196.0,130.0,34.0,562.0,72.0,1042.0,1252.0,2092.0,3058.0,363.0,912.0,2301.0,2345.0,436.0,813.0,2518.0,581.0,155.0,73.66,68.76,52.86,72.0,68.0,56.0,4268.93,3254.0,3243.75,484.0,35.27,28.69,29.7,200.85,200.8,196.81,,
L.A,2010,L.A,L.A,Team Level,5on5,82,0.52,0.52,0.51,235743.0,1883.9,146.23,124.82,439.12,59.9,1051.67,795.27,143.02,147.08,143.85,1795.0,822.0,934.0,3551.0,148.0,123.0,40.0,465.0,67.0,814.0,1000.0,1647.0,2469.0,302.0,779.0,1734.0,1911.0,372.0,650.0,2031.0,469.0,117.0,57.38,56.75,32.11,52.0,54.0,42.0,3576.46,2617.0,2633.69,371.0,25.75,25.26,25.43,146.55,147.13,145.63,1804.3,134.21,115.46,422.57,56.76,1006.27,767.74,131.42,134.57,131.76,1772.0,731.0,820.0,3323.0,136.0,93.0,25.0,453.0,56.0,772.0,993.0,1636.0,2367.0,311.0,790.0,1702.0,2127.0,366.0,634.0,1980.0,437.0,86.0,58.46,51.48,24.27,65.0,47.0,24.0,3305.93,2503.0,2492.75,387.0,23.67,20.83,21.08,136.79,136.74,135.29,,
L.A,2010,L.A,L.A,Team Level,4on5,82,0.09,0.11,0.12,25921.0,47.5,3.62,2.1,6.39,1.35,14.19,39.35,3.62,3.62,3.62,50.0,17.0,7.0,74.0,3.0,0.0,0.0,12.0,2.0,6.0,44.0,47.0,64.0,15.0,36.0,239.0,102.0,43.0,75.0,53.0,10.0,4.0,1.3,1.33,1.0,2.0,1.0,0.0,74.0,67.0,67.0,74.0,0.49,0.0,0.0,4.12,4.12,4.11,343.82,36.06,31.13,70.96,11.34,220.62,114.89,34.29,36.06,34.29,344.0,141.0,141.0,626.0,31.0,26.0,5.0,78.0,11.0,184.0,155.0,313.0,454.0,23.0,55.0,237.0,49.0,12.0,67.0,359.0,88.0,38.0,9.15,10.17,16.73,4.0,7.0,20.0,626.0,485.0,485.0,5.0,7.98,5.79,6.54,37.5,37.5,36.29,,
L.A,2010,L.A,L.A,Team Level,5on4,82,0.91,0.9,0.89,28883.0,408.81,40.84,35.67,89.9,13.3,263.7,136.59,38.93,40.84,38.93,401.0,179.0,205.0,785.0,41.0,30.0,10.0,84.0,14.0,246.0,165.0,360.0,539.0,16.0,35.0,302.0,65.0,16.0,101.0,446.0,92.0,42.0,11.71,11.37,17.76,7.0,8.0,26.0,785.0,580.0,580.0,8.0,8.95,8.32,8.15,41.63,41.63,39.87,50.99,3.8,2.13,7.07,1.44,15.2,39.36,3.8,3.8,3.8,46.0,23.0,17.0,86.0,6.0,1.0,0.0,8.0,1.0,12.0,41.0,40.0,63.0,16.0,40.0,226.0,128.0,45.0,84.0,57.0,8.0,4.0,1.76,1.01,1.03,0.0,4.0,2.0,86.0,69.0,69.0,78.0,0.5,0.08,0.08,4.22,4.22,4.22,,
N.J,2010,N.J,N.J,Team Level,other,82,0.55,0.52,0.51,9978.0,105.63,21.03,7.16,19.56,3.56,55.53,39.16,20.46,21.03,20.46,110.0,36.0,43.0,189.0,25.0,5.0,1.0,27.0,1.0,43.0,45.0,85.0,121.0,7.0,17.0,109.0,32.0,21.0,23.0,83.0,36.0,27.0,3.12,4.51,13.39,4.0,7.0,14.0,189.0,146.0,146.0,10.0,2.1,1.25,1.58,21.55,21.55,21.08,102.25,17.01,6.36,20.03,3.29,53.29,40.03,16.54,17.01,16.54,105.0,35.0,36.0,176.0,16.0,4.0,1.0,17.0,3.0,43.0,57.0,89.0,124.0,9.0,18.0,95.0,29.0,18.0,16.0,84.0,32.0,24.0,2.56,3.79,10.66,2.0,5.0,9.0,176.0,140.0,140.0,5.0,1.84,0.96,1.56,17.29,17.29,16.86,,
N.J,2010,N.J,N.J,Team Level,all,82,0.5,0.52,0.52,298552.0,2268.62,184.3,150.16,519.67,74.39,1280.99,969.5,179.04,184.13,178.87,2344.0,835.0,970.0,4149.0,171.0,126.0,28.0,578.0,60.0,923.0,1321.0,2173.0,3008.0,291.0,725.0,2186.0,1539.0,513.0,703.0,2494.0,531.0,154.0,68.89,62.75,52.66,59.0,51.0,61.0,4128.41,3179.0,3166.15,325.0,32.78,24.79,27.43,189.65,189.42,185.97,2087.05,182.94,137.81,471.59,67.47,1138.46,888.74,176.63,184.01,177.68,2152.0,735.0,875.0,3762.0,207.0,129.0,34.0,424.0,53.0,820.0,1254.0,1945.0,2680.0,291.0,725.0,2085.0,1585.0,503.0,500.0,2176.0,552.0,159.0,60.59,65.96,56.38,60.0,83.0,64.0,3781.5,2887.0,2898.81,265.0,30.18,28.45,30.09,183.03,183.83,179.36,,
N.J,2010,N.J,N.J,Team Level,5on5,82,0.51,0.52,0.52,241906.0,1798.24,131.21,112.2,427.79,58.95,1007.15,778.71,128.17,131.03,128.0,1868.0,648.0,763.0,3279.0,118.0,106.0,26.0,475.0,44.0,708.0,1065.0,1750.0,2398.0,255.0,633.0,1657.0,1398.0,417.0,572.0,2019.0,402.0,95.0,57.4,47.45,26.36,46.0,40.0,32.0,3258.41,2516.0,2503.15,275.0,22.9,21.25,22.58,131.53,131.3,129.9,1660.91,124.52,104.02,389.64,54.03,902.06,724.73,121.87,125.58,122.92,1712.0,587.0,703.0,3002.0,148.0,102.0,26.0,355.0,39.0,632.0,1023.0,1564.0,2151.0,254.0,646.0,1629.0,1442.0,412.0,411.0,1789.0,424.0,86.0,49.43,50.45,24.63,55.0,65.0,28.0,3021.5,2299.0,2310.82,234.0,21.36,22.31,23.3,122.58,123.37,122.25,,
N.J,2010,N.J,N.J,Team Level,4on5,82,0.06,0.14,0.14,23664.0,45.06,2.46,1.83,6.07,1.32,13.43,40.88,2.46,2.46,2.46,50.0,16.0,18.0,84.0,3.0,1.0,0.0,7.0,1.0,3.0,51.0,47.0,63.0,14.0,39.0,196.0,74.0,59.0,32.0,58.0,7.0,1.0,1.33,0.86,0.27,1.0,2.0,0.0,84.0,66.0,66.0,30.0,0.43,0.03,0.03,2.87,2.87,2.87,284.48,37.27,25.45,56.52,8.93,171.66,95.17,34.11,37.27,34.11,293.0,102.0,126.0,521.0,36.0,22.0,6.0,47.0,11.0,132.0,147.0,257.0,359.0,13.0,26.0,199.0,45.0,17.0,45.0,266.0,87.0,42.0,7.36,10.59,19.32,1.0,13.0,22.0,521.0,395.0,395.0,2.0,6.54,4.94,4.96,38.85,38.85,35.95,,
N.J,2010,N.J,N.J,Team Level,5on4,82,0.88,0.9,0.89,23004.0,319.69,29.6,28.97,66.24,10.56,204.88,110.75,27.94,29.6,27.94,316.0,135.0,146.0,597.0,25.0,14.0,1.0,69.0,14.0,169.0,160.0,291.0,426.0,15.0,36.0,224.0,35.0,16.0,76.0,334.0,86.0,31.0,7.03,9.92,12.64,8.0,2.0,15.0,597.0,451.0,451.0,10.0,7.34,2.26,3.24,33.69,33.69,32.12,39.41,4.15,1.97,5.41,1.21,11.46,28.81,4.11,4.15,4.11,42.0,11.0,10.0,63.0,7.0,1.0,1.0,5.0,0.0,13.0,27.0,35.0,46.0,15.0,35.0,162.0,69.0,56.0,28.0,37.0,9.0,7.0,1.23,1.14,1.78,2.0,0.0,5.0,63.0,53.0,53.0,24.0,0.46,0.24,0.28,4.33,4.33,4.31,,
CBJ,2010,CBJ,CBJ,Team Level,other,82,0.52,0.53,0.55,11426.0,184.75,27.96,12.84,35.4,6.56,103.01,74.23,26.8,27.96,26.8,188.0,72.0,68.0,328.0,31.0,9.0,4.0,21.0,12.0,90.0,97.0,157.0,229.0,15.0,38.0,169.0,71.0,29.0,12.0,170.0,57.0,33.0,5.83,6.84,15.3,6.0,5.0,20.0,328.0,260.0,260.0,1.0,3.66,2.43,2.43,29.19,29.19,28.24,152.65,25.71,10.55,28.72,4.99,79.68,61.35,24.62,25.71,24.62,152.0,59.0,80.0,291.0,26.0,10.0,3.0,14.0,6.0,70.0,85.0,126.0,185.0,17.0,37.0,177.0,46.0,25.0,21.0,129.0,49.0,33.0,4.32,5.95,15.45,5.0,4.0,17.0,291.0,211.0,211.0,7.0,2.88,4.04,4.04,24.55,24.55,23.98,,
CBJ,2010,CBJ,CBJ,Team Level,all,82,0.5,0.51,0.51,300693.0,2476.78,208.42,170.93,554.36,81.73,1403.83,1040.72,201.53,208.5,201.58,2506.0,954.0,1153.0,4613.0,210.0,163.0,38.0,389.0,114.0,1251.0,1333.0,2296.0,3250.0,413.0,1025.0,2459.0,2316.0,521.0,380.0,2708.0,570.0,182.0,76.83,68.36,63.23,83.0,51.0,76.0,4572.48,3460.0,3438.59,193.0,37.95,35.35,36.52,209.84,209.59,205.55,2372.63,206.97,162.54,528.97,76.37,1346.58,988.57,200.81,208.13,201.98,2447.0,863.0,1114.0,4424.0,250.0,147.0,49.0,349.0,100.0,1218.0,1246.0,2197.0,3060.0,407.0,976.0,2345.0,1699.0,504.0,462.0,2554.0,576.0,180.0,72.2,69.42,65.35,88.0,69.0,93.0,4477.91,3310.0,3347.48,252.0,35.92,34.27,34.35,208.54,209.73,206.22,,
CBJ,2010,CBJ,CBJ,Team Level,5on5,82,0.51,0.51,0.51,232941.0,1831.32,135.65,119.02,427.45,59.6,1025.51,780.77,131.61,135.73,131.67,1844.0,704.0,860.0,3408.0,139.0,115.0,29.0,304.0,88.0,926.0,976.0,1705.0,2409.0,359.0,898.0,1748.0,2070.0,418.0,307.0,2040.0,405.0,103.0,57.57,48.53,29.55,67.0,38.0,34.0,3367.48,2548.0,2526.59,167.0,24.47,25.8,26.98,133.14,132.89,131.17,1770.26,132.0,113.87,411.45,57.07,996.47,753.14,128.72,133.16,129.89,1809.0,655.0,824.0,3288.0,159.0,102.0,38.0,276.0,72.0,897.0,958.0,1650.0,2305.0,338.0,830.0,1680.0,1538.0,403.0,365.0,1955.0,416.0,93.0,56.19,49.41,26.4,64.0,49.0,46.0,3341.91,2464.0,2501.48,216.0,23.41,22.7,22.99,132.42,133.61,132.08,,
CBJ,2010,CBJ,CBJ,Team Level,4on5,82,0.11,0.12,0.13,28950.0,60.78,5.41,2.87,8.07,1.79,18.01,48.85,5.34,5.41,5.34,62.0,23.0,18.0,103.0,6.0,3.0,1.0,7.0,2.0,14.0,53.0,56.0,79.0,18.0,47.0,271.0,125.0,51.0,20.0,63.0,16.0,6.0,1.64,2.06,1.71,3.0,0.0,3.0,103.0,85.0,85.0,17.0,0.66,0.7,0.7,5.38,5.38,5.36,397.15,44.53,35.69,82.01,12.86,255.31,134.63,42.76,44.53,42.76,427.0,138.0,199.0,764.0,55.0,34.0,8.0,55.0,19.0,238.0,164.0,372.0,510.0,33.0,71.0,254.0,49.0,18.0,51.0,422.0,93.0,50.0,10.33,11.67,22.53,15.0,13.0,27.0,764.0,565.0,565.0,5.0,9.06,7.4,7.18,46.41,46.41,45.01,,
CBJ,2010,CBJ,CBJ,Team Level,5on4,82,0.89,0.91,0.89,27376.0,399.94,39.38,36.2,83.45,13.78,257.3,136.87,37.77,39.38,37.77,412.0,155.0,207.0,774.0,34.0,36.0,4.0,57.0,12.0,221.0,207.0,378.0,533.0,21.0,42.0,271.0,50.0,23.0,41.0,435.0,92.0,40.0,11.79,10.93,16.66,7.0,8.0,19.0,774.0,567.0,567.0,8.0,9.15,6.41,6.41,42.13,42.13,40.78,52.58,4.74,2.44,6.79,1.45,15.11,39.47,4.72,4.74,4.72,59.0,11.0,11.0,81.0,10.0,1.0,0.0,4.0,3.0,13.0,39.0,49.0,60.0,19.0,38.0,234.0,66.0,58.0,25.0,48.0,18.0,4.0,1.36,2.4,0.97,4.0,3.0,3.0,81.0,70.0,70.0,24.0,0.56,0.13,0.13,5.17,5.17,5.16,,
OTT,2010,OTT,OTT,Team Level,other,82,0.43,0.45,0.44,9445.0,122.64,21.59,8.49,21.97,3.82,66.9,47.23,20.76,21.59,20.76,117.0,53.0,56.0,226.0,19.0,9.0,3.0,23.0,5.0,52.0,62.0,98.0,151.0,11.0,25.0,130.0,34.0,32.0,31.0,106.0,34.0,30.0,3.7,4.13,13.75,4.0,2.0,13.0,226.0,170.0,170.0,8.0,2.44,3.53,3.69,20.34,20.34,19.96,158.26,28.65,10.67,31.72,5.15,82.4,59.41,26.88,28.65,26.88,157.0,61.0,56.0,274.0,28.0,17.0,5.0,30.0,3.0,70.0,70.0,129.0,190.0,9.0,24.0,132.0,40.0,33.0,19.0,129.0,54.0,35.0,4.72,7.03,16.9,4.0,6.0,18.0,274.0,218.0,218.0,8.0,2.94,5.84,5.84,25.75,25.75,24.42,,
OTT,2010,OTT,OTT,Team Level,all,82,0.46,0.49,0.48,298322.0,2361.73,204.12,158.55,536.31,74.57,1305.79,993.65,196.43,203.79,196.06,2381.0,892.0,1107.0,4380.0,190.0,169.0,40.0,515.0,59.0,1079.0,1261.0,2191.0,3083.0,402.0,993.0,2293.0,1658.0,642.0,734.0,2519.0,557.0,197.0,71.87,66.95,65.3,60.0,60.0,70.0,4344.59,3273.0,3256.24,405.0,34.63,39.02,39.55,199.2,198.63,195.02,2525.44,237.18,174.61,568.41,80.93,1405.01,1044.86,227.13,239.26,229.17,2559.0,952.0,1115.0,4626.0,245.0,190.0,46.0,503.0,64.0,1134.0,1375.0,2314.0,3266.0,360.0,872.0,2217.0,1794.0,679.0,795.0,2638.0,632.0,241.0,74.44,76.86,85.88,67.0,86.0,92.0,4674.93,3511.0,3543.8,492.0,38.74,42.9,43.48,232.43,234.24,228.03,,
OTT,2010,OTT,OTT,Team Level,5on5,82,0.49,0.5,0.5,235957.0,1851.55,140.07,118.67,437.47,58.79,1021.37,787.64,135.7,139.74,135.33,1875.0,689.0,875.0,3439.0,125.0,124.0,27.0,427.0,43.0,834.0,1011.0,1750.0,2439.0,341.0,856.0,1700.0,1519.0,502.0,569.0,2022.0,429.0,113.0,57.5,51.53,31.04,46.0,45.0,34.0,3403.59,2564.0,2547.24,339.0,24.36,25.61,25.98,138.45,137.88,135.93,1871.7,146.81,122.17,439.32,59.4,1038.1,797.2,142.85,148.9,144.88,1895.0,708.0,852.0,3455.0,173.0,126.0,32.0,381.0,47.0,811.0,1065.0,1722.0,2430.0,302.0,729.0,1611.0,1624.0,541.0,636.0,2025.0,453.0,125.0,57.48,55.11,34.22,59.0,73.0,41.0,3503.93,2603.0,2635.8,432.0,25.11,25.12,26.16,145.77,147.56,145.72,,
OTT,2010,OTT,OTT,Team Level,4on5,82,0.1,0.12,0.13,28352.0,65.43,6.12,3.28,8.53,1.87,18.67,51.53,6.06,6.12,6.06,68.0,22.0,16.0,106.0,6.0,3.0,1.0,6.0,1.0,19.0,55.0,62.0,84.0,25.0,59.0,247.0,76.0,77.0,56.0,64.0,22.0,4.0,2.15,2.75,1.22,1.0,3.0,2.0,106.0,90.0,90.0,50.0,0.76,0.29,0.29,6.59,6.59,6.55,432.83,53.99,38.54,89.69,14.63,267.01,141.14,49.81,53.99,49.81,444.0,161.0,194.0,799.0,41.0,43.0,9.0,86.0,14.0,236.0,185.0,403.0,564.0,27.0,72.0,263.0,53.0,33.0,88.0,430.0,110.0,65.0,10.75,13.02,30.22,2.0,7.0,32.0,799.0,605.0,605.0,7.0,9.94,11.21,11.03,52.91,52.91,49.95,,
OTT,2010,OTT,OTT,Team Level,5on4,82,0.82,0.86,0.84,24568.0,322.11,36.34,28.12,68.34,10.1,198.86,107.24,33.93,36.34,33.93,321.0,128.0,160.0,609.0,40.0,33.0,9.0,59.0,10.0,174.0,133.0,281.0,409.0,25.0,53.0,216.0,29.0,31.0,78.0,327.0,72.0,50.0,8.51,8.54,19.29,9.0,10.0,21.0,609.0,449.0,449.0,8.0,7.07,9.59,9.59,33.83,33.83,32.58,62.65,7.73,3.23,7.69,1.74,17.5,47.12,7.58,7.73,7.58,63.0,22.0,13.0,98.0,3.0,4.0,0.0,6.0,0.0,17.0,55.0,60.0,82.0,22.0,47.0,211.0,77.0,72.0,52.0,54.0,15.0,16.0,1.49,1.71,4.53,2.0,0.0,1.0,98.0,85.0,85.0,45.0,0.75,0.73,0.45,8.02,8.02,7.95,,
PIT,2010,PIT,PIT,Team Level,other,82,0.55,0.53,0.52,11479.0,180.57,28.15,10.79,36.23,5.76,90.88,79.19,25.53,28.15,25.53,176.0,75.0,88.0,339.0,28.0,10.0,3.0,32.0,8.0,71.0,102.0,148.0,223.0,23.0,68.0,172.0,67.0,29.0,27.0,170.0,46.0,35.0,5.36,5.37,17.42,8.0,5.0,15.0,339.0,251.0,251.0,7.0,2.98,2.88,2.7,28.42,28.42,26.0,166.8,23.34,11.27,33.6,5.75,89.12,68.9,22.28,23.34,22.28,167.0,65.0,64.0,296.0,25.0,14.0,6.0,29.0,8.0,60.0,96.0,142.0,207.0,26.0,85.0,158.0,66.0,30.0,24.0,154.0,49.0,29.0,5.18,5.86,12.31,4.0,9.0,12.0,296.0,232.0,232.0,13.0,3.26,3.39,3.63,22.98,22.98,22.51,,
PIT,2010,PIT,PIT,Team Level,all,82,0.52,0.53,0.52,300964.0,2538.46,222.08,167.91,582.87,82.13,1404.99,1093.02,212.28,223.47,213.64,2582.0,971.0,1288.0,4841.0,228.0,168.0,36.0,552.0,126.0,1115.0,1364.0,2354.0,3325.0,463.0,1242.0,2329.0,2280.0,444.0,507.0,2792.0,537.0,224.0,77.25,63.12,81.71,74.0,73.0,81.0,4883.04,3553.0,3579.66,231.0,37.2,37.45,38.01,221.28,222.6,216.03,2314.66,202.79,157.3,519.69,75.36,1290.09,981.77,195.1,201.94,194.26,2352.0,875.0,1082.0,4309.0,196.0,149.0,31.0,445.0,119.0,1019.0,1299.0,2156.0,3031.0,443.0,1167.0,2403.0,2012.0,482.0,494.0,2428.0,612.0,187.0,66.15,73.1,63.54,58.0,75.0,63.0,4280.81,3227.0,3211.81,276.0,35.08,32.6,32.96,204.91,204.06,199.89,,
PIT,2010,PIT,PIT,Team Level,5on5,82,0.51,0.53,0.52,229735.0,1877.16,136.43,120.08,452.47,61.25,1044.19,815.58,133.09,137.82,134.44,1921.0,709.0,954.0,3584.0,145.0,128.0,25.0,431.0,98.0,822.0,1006.0,1776.0,2485.0,391.0,1060.0,1666.0,2028.0,338.0,373.0,2133.0,382.0,115.0,59.31,44.54,32.57,60.0,49.0,36.0,3626.04,2630.0,2656.66,189.0,24.65,26.26,26.98,134.09,135.42,134.05,1718.67,130.21,111.56,401.08,55.63,956.84,738.67,126.98,129.37,126.15,1740.0,654.0,820.0,3214.0,128.0,103.0,17.0,346.0,86.0,767.0,964.0,1612.0,2266.0,372.0,978.0,1643.0,1788.0,359.0,379.0,1849.0,450.0,95.0,50.7,53.52,25.99,46.0,56.0,26.0,3185.81,2394.0,2378.81,220.0,22.9,20.7,20.86,132.26,131.4,129.66,,
PIT,2010,PIT,PIT,Team Level,4on5,82,0.14,0.16,0.17,29986.0,79.6,6.82,3.71,10.86,2.24,22.7,61.66,6.72,6.82,6.72,85.0,23.0,22.0,130.0,11.0,5.0,3.0,9.0,1.0,19.0,63.0,74.0,97.0,25.0,55.0,212.0,117.0,65.0,26.0,79.0,24.0,5.0,2.28,3.29,1.25,3.0,6.0,2.0,130.0,108.0,108.0,24.0,0.87,0.88,0.88,6.81,6.81,6.77,371.13,43.54,31.65,77.76,12.11,227.02,126.92,40.14,43.54,40.14,384.0,135.0,179.0,698.0,38.0,31.0,8.0,63.0,20.0,180.0,187.0,346.0,481.0,30.0,63.0,325.0,53.0,21.0,58.0,368.0,96.0,55.0,8.81,11.61,23.11,7.0,9.0,22.0,698.0,519.0,519.0,11.0,8.24,8.47,8.47,43.31,43.31,41.37,,
PIT,2010,PIT,PIT,Team Level,5on4,82,0.9,0.89,0.87,29764.0,401.13,50.68,33.33,83.31,12.87,247.22,136.6,46.95,50.68,46.95,400.0,164.0,224.0,788.0,44.0,25.0,5.0,80.0,19.0,203.0,193.0,356.0,520.0,24.0,59.0,279.0,68.0,12.0,81.0,410.0,85.0,69.0,10.3,9.92,30.46,3.0,13.0,28.0,788.0,564.0,564.0,11.0,8.7,7.44,7.44,51.94,51.94,49.22,58.06,5.7,2.81,7.25,1.87,17.09,47.28,5.7,5.7,5.7,61.0,21.0,19.0,101.0,5.0,1.0,0.0,7.0,5.0,12.0,52.0,56.0,77.0,15.0,41.0,277.0,105.0,72.0,33.0,57.0,17.0,8.0,1.46,2.11,2.13,1.0,1.0,3.0,101.0,82.0,82.0,32.0,0.67,0.03,0.0,6.37,6.37,6.36,,
MIN,2010,MIN,MIN,Team Level,other,82,0.49,0.48,0.48,10150.0,147.75,25.77,10.46,28.26,4.92,78.91,57.68,24.33,25.77,24.33,140.0,66.0,57.0,263.0,23.0,13.0,4.0,22.0,9.0,72.0,67.0,117.0,183.0,8.0,16.0,160.0,45.0,28.0,26.0,129.0,42.0,35.0,4.24,5.38,16.15,4.0,5.0,14.0,263.0,206.0,206.0,17.0,3.04,3.91,3.89,24.93,24.93,24.03,159.07,26.71,11.47,30.86,5.4,87.53,57.04,25.19,26.71,25.19,154.0,65.0,65.0,284.0,28.0,13.0,3.0,27.0,7.0,76.0,68.0,126.0,191.0,10.0,22.0,135.0,43.0,18.0,28.0,126.0,58.0,35.0,4.0,7.31,15.39,8.0,3.0,17.0,284.0,219.0,219.0,12.0,3.3,3.73,4.0,26.01,26.01,24.77,,
MIN,2010,MIN,MIN,Team Level,all,82,0.45,0.46,0.45,299112.0,2178.1,196.64,148.7,489.58,69.5,1209.89,896.7,189.59,196.21,189.16,2148.0,863.0,997.0,4008.0,203.0,132.0,42.0,486.0,62.0,970.0,1158.0,1945.0,2808.0,375.0,889.0,2408.0,1865.0,536.0,605.0,2256.0,590.0,165.0,64.36,71.6,60.67,55.0,79.0,69.0,3984.21,3011.0,3001.3,330.0,33.04,32.04,32.93,196.75,196.16,192.11,2611.83,235.99,181.28,589.21,83.21,1462.37,1082.91,228.15,237.56,229.66,2625.0,1010.0,1129.0,4764.0,228.0,178.0,38.0,601.0,94.0,1153.0,1381.0,2397.0,3407.0,352.0,852.0,2337.0,1706.0,492.0,580.0,2732.0,688.0,215.0,77.2,83.53,75.26,69.0,79.0,80.0,4794.98,3635.0,3654.58,288.0,40.02,36.76,37.72,238.29,239.54,234.06,,
